CustomerID,Max of Transaction_Date,Recency,Frequency,Monetary,R Score,F Score,M Score
12346,9/15/2019,107,2,21.693,5,0,0
12347,11/2/2019,59,60,13053.352,7,8,9
12348,10/19/2019,73,23,1311.415,6,5,4
12350,12/14/2019,17,17,1207.853,9,4,4
12356,9/15/2019,107,36,1235.722,5,6,4
12359,8/23/2019,130,16,594.352,5,3,2
12370,6/25/2019,189,91,6656.081,3,9,8
12373,12/7/2019,24,14,440.821,8,3,1
12377,11/21/2019,40,77,9612.159,7,8,9
12383,9/23/2019,99,69,4741.927,6,8,8
12386,7/28/2019,156,10,517.965,4,2,2
12388,9/8/2019,114,19,700.51,5,4,2
12393,8/31/2019,122,22,2021.51,5,5,5
12395,7/20/2019,164,32,1303.158,3,6,4
12402,9/28/2019,94,11,540.315,6,2,2
12410,12/21/2019,10,26,2230.661,9,5,5
12413,8/22/2019,131,26,2821.237,5,5,6
12414,12/14/2019,17,7,594.025,9,1,2
12415,8/13/2019,140,47,2641.772,4,7,6
12417,10/18/2019,74,30,1553.578,6,6,4
12421,10/16/2019,76,11,1841.691,6,2,5
12422,9/20/2019,102,13,830.092,5,3,3
12423,7/12/2019,172,16,663.052,3,3,2
12427,7/14/2019,170,13,1263.456,3,3,4
12429,4/13/2019,262,20,2179.071,1,4,5
12431,11/21/2019,40,44,5320.812,7,7,8
12433,4/10/2019,265,147,13469.611,1,9,9
12434,5/23/2019,222,3,28.576,2,0,0
12437,12/14/2019,17,18,2432.926,9,4,6
12441,3/29/2019,277,11,1423.026,1,2,4
12451,9/19/2019,103,101,8749.657,5,9,9
12464,12/18/2019,13,6,962.218,9,1,3
12468,11/10/2019,51,12,1344.578,7,2,4
12471,12/16/2019,15,128,13127.78,9,9,9
12472,10/30/2019,62,126,10570.826,7,9,9
12474,11/1/2019,60,36,6342.563,7,6,8
12476,11/28/2019,33,27,2856.25,8,5,6
12477,12/5/2019,26,2,222.517,8,0,1
12480,8/6/2019,147,42,1264.256,4,7,4
12481,8/2/2019,151,46,8643.761,4,7,9
12483,7/18/2019,166,14,979.781,3,3,3
12484,8/4/2019,149,98,4938.908,4,9,8
12489,8/3/2019,150,15,776.234,4,3,2
12490,8/30/2019,123,43,2523.188,5,7,6
12494,7/20/2019,164,7,402.46,3,1,1
12500,8/13/2019,140,5,61.43,4,1,0
12501,11/20/2019,41,160,9356.994,7,9,9
12502,12/16/2019,15,31,4491.837,9,6,8
12503,7/27/2019,157,1,10.63,4,0,0
12510,9/18/2019,104,29,1169.951,5,5,4
12515,7/13/2019,171,16,1261.429,3,3,4
12523,8/22/2019,131,7,400.214,5,1,1
12524,8/14/2019,139,16,476.972,4,3,2
12527,9/15/2019,107,10,1531.97,5,2,4
12528,11/27/2019,34,31,4068.46,8,6,7
12530,8/2/2019,151,13,1225.04,4,3,4
12539,11/8/2019,53,187,17828.848,7,9,9
12540,12/10/2019,21,64,3887.902,8,8,7
12551,6/26/2019,188,10,1448.06,3,2,4
12553,10/23/2019,69,39,1439.696,7,6,4
12557,8/17/2019,136,9,242.588,4,2,1
12559,12/11/2019,20,22,2663.846,8,5,6
12567,12/21/2019,10,146,11347.089,9,9,9
12574,11/16/2019,45,11,1348.58,7,2,4
12577,6/12/2019,202,67,5522.247,2,8,8
12578,11/5/2019,56,76,5134.77,7,8,8
12583,8/2/2019,151,42,2267.616,4,7,6
12585,7/24/2019,160,74,3692.54,4,8,7
12586,3/4/2019,302,1,18.99,0,0,0
12591,11/2/2019,59,26,4290.46,7,5,7
12594,9/30/2019,92,12,671.09,6,2,2
12600,12/16/2019,15,15,704.901,9,3,2
12601,8/17/2019,136,9,504.218,4,2,2
12605,4/19/2019,256,3,283.19,1,0,1
12609,10/27/2019,65,16,317.9,7,3,1
12621,6/27/2019,187,33,2248.936,3,6,6
12625,12/16/2019,15,58,5668.586,9,8,8
12626,12/4/2019,27,67,4679.137,8,8,8
12637,11/5/2019,56,75,4074.178,7,8,7
12643,8/18/2019,135,2,51.99,4,0,0
12645,11/10/2019,51,16,2273.314,7,3,6
12647,6/26/2019,188,53,3685.777,3,7,7
12649,4/18/2019,257,2,13.101,1,0,0
12651,8/9/2019,144,9,2213.104,4,2,5
12652,10/5/2019,87,51,2523.974,6,7,6
12662,12/19/2019,12,34,2799.281,9,6,6
12664,10/2/2019,90,5,716.19,6,1,2
12665,9/19/2019,103,4,74.16,5,1,0
12666,6/9/2019,205,2,32.283,2,0,0
12668,11/30/2019,31,74,6342.629,8,8,8
12672,8/30/2019,123,10,242.816,5,2,1
12673,9/9/2019,113,23,1545.277,5,5,4
12676,12/10/2019,21,12,1260.203,8,2,4
12678,7/12/2019,172,5,202.98,3,1,1
12681,12/3/2019,28,223,14499.063,8,9,9
12682,12/11/2019,20,127,11262.569,8,9,9
12683,9/30/2019,92,77,9365.674,6,8,9
12686,1/31/2019,334,7,934.026,0,1,3
12691,10/27/2019,65,15,1295.874,7,3,4
12693,10/14/2019,78,9,1634.55,6,2,5
12705,6/28/2019,186,30,1544.597,3,6,4
12708,8/30/2019,123,33,2692.363,5,6,6
12709,11/8/2019,53,33,2752.792,7,6,6
12712,12/21/2019,10,47,3555.323,9,7,7
12720,11/27/2019,34,65,6178.718,8,8,8
12721,7/6/2019,178,18,1844.714,3,4,5
12724,8/21/2019,132,11,452.328,4,2,1
12725,2/9/2019,325,24,4150.762,0,5,7
12726,11/17/2019,44,25,1650.67,7,5,5
12727,10/11/2019,81,12,870.025,6,2,3
12728,8/19/2019,134,13,488.002,4,3,2
12731,11/27/2019,34,62,11545.644,8,8,9
12734,7/13/2019,171,4,77.752,3,1,0
12735,11/20/2019,41,43,2671.584,7,7,6
12736,8/16/2019,137,4,125.16,4,1,0
12738,1/30/2019,335,11,1677.468,0,2,5
12744,10/24/2019,68,56,9088.034,7,8,9
12747,9/28/2019,94,20,1602.658,6,4,4
12748,9/15/2019,107,695,70144.591,5,9,9
12753,8/1/2019,152,52,1817.258,4,7,5
12754,12/21/2019,10,37,3370.579,9,6,7
12755,4/12/2019,263,1,44.982,1,0,0
12763,3/2/2019,304,16,893.166,0,3,3
12764,11/6/2019,55,45,4994.886,7,7,8
12766,8/11/2019,142,88,3964.178,4,9,7
12775,12/18/2019,13,13,1242.823,9,3,4
12778,12/1/2019,30,9,517.863,8,2,2
12779,12/24/2019,7,42,2053.264,9,7,5
12782,10/28/2019,64,56,3871.033,7,8,7
12785,4/30/2019,245,14,673.312,2,3,2
12791,1/3/2019,362,2,128.023,0,0,0
12793,8/9/2019,144,24,2064.484,4,5,5
12797,6/2/2019,212,17,325.561,2,4,1
12808,3/4/2019,302,7,488.135,0,1,2
12820,9/11/2019,111,11,544.286,5,2,2
12826,11/8/2019,53,49,7326.174,7,7,9
12829,10/3/2019,89,12,973.386,6,2,3
12836,12/6/2019,25,39,2603.921,8,6,6
12838,1/5/2019,360,59,4208.145,0,8,7
12839,6/29/2019,185,37,3346.498,3,6,7
12841,11/27/2019,34,110,10847.835,8,9,9
12842,12/23/2019,8,14,2235.362,9,3,5
12853,12/3/2019,28,23,1796.325,8,5,5
12854,10/24/2019,68,36,4483.556,7,6,8
12855,1/17/2019,348,3,850.405,0,0,3
12865,6/5/2019,209,1,238,2,0,1
12867,6/2/2019,212,58,3109.672,2,8,7
12868,11/12/2019,49,46,5141.295,7,7,8
12870,4/6/2019,269,2,31.686,1,0,0
12872,9/7/2019,115,66,3496.408,5,8,7
12875,5/6/2019,239,1,1.2,2,0,0
12877,8/31/2019,122,17,1135.168,5,4,4
12908,11/29/2019,32,2,228,8,0,1
12913,3/18/2019,288,4,62.763,1,1,0
12915,1/22/2019,343,13,1090.622,0,3,3
12916,10/6/2019,86,40,3764.842,6,7,7
12921,7/20/2019,164,59,5655.232,3,8,8
12924,9/5/2019,117,2,15.35,5,0,0
12928,6/11/2019,203,17,255.921,2,4,1
12929,12/6/2019,25,8,847.634,8,1,3
12931,6/29/2019,185,2,18.663,3,0,0
12935,10/16/2019,76,27,811.97,6,5,3
12939,8/8/2019,145,6,174.21,4,1,1
12942,4/11/2019,264,16,683.555,1,3,2
12944,7/6/2019,178,14,1012.02,3,3,3
12947,10/27/2019,65,36,4750.719,7,6,8
12951,10/12/2019,80,20,843.085,6,4,3
12956,12/31/2019,0,19,2890.086,9,4,6
12957,8/1/2019,152,31,866.348,4,6,3
12963,4/11/2019,264,16,590.26,1,3,2
12967,6/23/2019,191,19,1439.053,3,4,4
12970,10/4/2019,88,8,483.8,6,1,2
12971,12/19/2019,12,47,3775.587,9,7,7
12980,8/23/2019,130,6,1125.57,5,1,3
12989,9/5/2019,117,2,156.6,5,0,1
12990,12/14/2019,17,3,449.828,9,0,1
12997,11/21/2019,40,18,730.514,7,4,2
13000,4/24/2019,251,11,822.141,1,2,3
13001,10/27/2019,65,36,2214.372,7,6,5
13002,10/27/2019,65,7,842.55,7,1,3
13004,11/10/2019,51,72,5151.543,7,8,8
13008,9/28/2019,94,15,2061.253,6,3,5
13011,1/30/2019,335,3,192.229,0,0,1
13013,2/3/2019,331,67,4264.118,0,8,7
13021,6/13/2019,201,8,1593.248,3,1,4
13027,7/7/2019,177,6,165.192,3,1,1
13029,7/12/2019,172,1,9.99,3,0,0
13030,3/15/2019,291,60,1797.681,1,8,5
13033,6/27/2019,187,11,487.006,3,2,2
13034,2/28/2019,306,11,152.842,0,2,0
13047,12/18/2019,13,44,2753.551,9,7,6
13048,9/6/2019,116,40,2551.925,5,7,6
13049,10/27/2019,65,7,214.192,7,1,1
13050,12/27/2019,4,103,9560.54,9,9,9
13064,9/6/2019,116,9,156.856,5,2,1
13065,1/16/2019,349,14,1391.906,0,3,4
13068,10/11/2019,81,1,0.9,6,0,0
13069,12/28/2019,3,138,8034.917,9,9,9
13077,4/7/2019,268,14,1456.583,1,3,4
13078,11/10/2019,51,54,3605.774,7,8,7
13081,8/31/2019,122,261,18737.912,5,9,9
13082,7/24/2019,160,7,977.39,4,1,3
13089,12/11/2019,20,366,24940.624,8,9,9
13090,9/30/2019,92,13,1225.14,6,3,4
13092,6/7/2019,207,7,254.299,2,1,1
13093,12/12/2019,19,143,10836.985,9,9,9
13094,7/31/2019,153,5,341.556,4,1,1
13097,7/26/2019,158,52,2684.552,4,7,6
13098,11/3/2019,58,21,2118.79,7,4,5
13102,12/24/2019,7,93,7920.753,9,9,9
13104,7/6/2019,178,1,107.1,3,0,0
13107,9/4/2019,118,23,2487.478,5,5,6
13108,1/18/2019,347,10,460.98,0,2,1
13110,12/10/2019,21,20,857.653,8,4,3
13113,12/24/2019,7,62,19688.164,9,8,9
13115,8/1/2019,152,2,242.12,4,0,1
13117,10/17/2019,75,34,1951.675,6,6,5
13124,6/10/2019,204,61,4037.749,2,8,7
13126,8/17/2019,136,32,2057.623,4,6,5
13136,4/19/2019,256,3,207.08,1,0,1
13137,12/22/2019,9,48,6649.914,9,7,8
13138,1/26/2019,339,14,1455.643,0,3,4
13140,4/7/2019,268,16,396.098,1,3,1
13141,12/10/2019,21,32,3028.892,8,6,6
13144,8/17/2019,136,3,30.59,4,0,0
13145,1/30/2019,335,1,14.85,0,0,0
13148,11/25/2019,36,130,16591.796,8,9,9
13155,9/8/2019,114,63,4938.844,5,8,8
13158,10/18/2019,74,19,3075.61,6,4,7
13161,11/24/2019,37,8,455.974,8,1,1
13162,8/22/2019,131,40,3245.036,5,7,7
13165,7/14/2019,170,13,763.365,3,3,2
13168,10/26/2019,66,76,4767.15,7,8,8
13173,3/23/2019,283,23,3341.22,1,5,7
13174,11/13/2019,48,242,19561.308,7,9,9
13178,5/25/2019,220,32,1670.778,2,6,5
13183,8/7/2019,146,20,1735.574,4,4,5
13187,8/1/2019,152,37,1031.432,4,6,3
13198,10/24/2019,68,77,5101.784,7,8,8
13199,12/13/2019,18,16,1808.262,9,3,5
13208,12/20/2019,11,26,1932.136,9,5,5
13209,9/12/2019,110,21,326.515,5,4,1
13211,5/21/2019,224,2,37.342,2,0,0
13221,6/7/2019,207,35,2110.832,2,6,5
13225,7/26/2019,158,12,445.22,4,2,1
13230,12/20/2019,11,85,9220.465,9,9,9
13233,8/6/2019,147,17,1206.938,4,4,4
13238,5/31/2019,214,5,461.49,2,1,1
13240,4/14/2019,261,21,1396.681,1,4,4
13246,9/13/2019,109,40,1886.756,5,7,5
13253,7/19/2019,165,16,424.161,3,3,1
13255,1/5/2019,360,6,1257.346,0,1,4
13263,9/18/2019,104,39,2434.464,5,6,6
13266,6/12/2019,202,1,46.17,2,0,0
13267,8/23/2019,130,46,16173.976,5,7,9
13269,5/18/2019,227,28,2780.278,2,5,6
13270,4/7/2019,268,1,71.1,1,0,0
13280,11/15/2019,46,78,7686.42,7,8,9
13284,9/30/2019,92,14,730.662,6,3,2
13295,6/5/2019,209,11,742.146,2,2,2
13304,7/15/2019,169,21,609.251,3,4,2
13305,1/20/2019,345,5,455.547,0,1,1
13309,12/23/2019,8,34,4011.026,9,6,7
13310,10/23/2019,69,29,2028.285,7,5,5
13313,7/16/2019,168,17,401.787,3,4,1
13317,6/13/2019,201,14,1132.687,3,3,4
13319,7/17/2019,167,98,6052.261,3,9,8
13324,11/27/2019,34,10,1847.38,8,2,5
13327,4/19/2019,256,21,677.037,1,4,2
13328,11/13/2019,48,17,2238.71,7,4,5
13329,7/8/2019,176,9,570.803,3,2,2
13330,11/17/2019,44,13,1240.472,7,3,4
13368,7/28/2019,156,1,139.65,4,0,0
13369,7/8/2019,176,19,1570.026,3,4,4
13370,4/8/2019,267,44,2751.817,1,7,6
13385,8/30/2019,123,35,2978.156,5,6,6
13394,12/16/2019,15,16,1006.964,9,3,3
13396,11/27/2019,34,16,2301.08,8,3,6
13397,7/18/2019,166,8,519.722,3,1,2
13402,1/30/2019,335,17,1305.041,0,4,4
13405,10/27/2019,65,6,270.112,7,1,1
13408,11/29/2019,32,78,7109.854,8,8,9
13418,6/8/2019,206,49,3588.054,2,7,7
13426,8/2/2019,151,32,733.297,4,6,2
13448,5/21/2019,224,36,2242.583,2,6,6
13451,8/11/2019,142,48,1430.768,4,7,4
13455,9/4/2019,118,36,2941.72,5,6,6
13458,9/18/2019,104,87,3171.581,5,9,7
13468,12/12/2019,19,79,7618.203,9,8,9
13473,8/28/2019,125,13,521.72,5,3,2
13481,3/16/2019,290,1,2.8,1,0,0
13487,7/12/2019,172,11,239.339,3,2,1
13488,12/20/2019,11,149,10159.932,9,9,9
13491,12/12/2019,19,42,3718.93,9,7,7
13494,12/6/2019,25,18,973.915,8,4,3
13495,6/5/2019,209,26,1600.841,2,5,4
13496,6/21/2019,193,27,1259.73,3,5,4
13497,3/6/2019,300,10,865.529,0,2,3
13502,9/26/2019,96,4,88.889,6,1,0
13506,12/2/2019,29,29,3229.169,8,5,7
13520,9/22/2019,100,31,3352.204,5,6,7
13523,4/6/2019,269,30,1513.634,1,6,4
13527,9/8/2019,114,5,29.842,5,1,0
13531,4/7/2019,268,15,6290.007,1,3,8
13534,11/14/2019,47,52,3370.317,7,7,7
13538,11/17/2019,44,3,17.57,7,0,0
13539,12/19/2019,12,11,999.523,9,2,3
13551,10/16/2019,76,4,1006.29,6,1,3
13552,11/17/2019,44,8,283.314,7,1,1
13564,7/11/2019,173,82,6481.189,3,9,8
13565,8/11/2019,142,13,890.822,4,3,3
13569,3/21/2019,285,24,1351.666,1,5,4
13576,12/14/2019,17,34,1916.188,9,6,5
13579,3/2/2019,304,9,461.746,0,2,2
13581,12/19/2019,12,10,885.873,9,2,3
13584,12/29/2019,2,24,2480.315,9,5,6
13593,8/7/2019,146,39,1705.004,4,6,5
13599,9/4/2019,118,30,1391.585,5,6,4
13600,12/2/2019,29,19,2747.33,8,4,6
13606,12/6/2019,25,3,362.87,8,0,1
13611,6/3/2019,211,15,1030.959,2,3,3
13614,8/28/2019,125,9,510.91,5,2,2
13615,11/27/2019,34,24,1815.898,8,5,5
13627,6/25/2019,189,20,1803.328,3,4,5
13629,12/10/2019,21,8,976.788,8,1,3
13634,9/6/2019,116,38,907.027,5,6,3
13649,4/7/2019,268,15,484.48,1,3,2
13652,3/4/2019,302,18,360.421,0,4,1
13656,7/31/2019,153,31,1333.928,4,6,4
